2016-07-08 15:17:57,705 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(236) ----> loadSMSDataTable:receivelog.dat 
2016-07-08 15:17:57,705 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(244) ----> receivelog.dat is empty 
2016-07-08 15:17:57,706 |  INFO | [main] | class pro.server.Program:loadSMSDataTable(287) ----> Deleting.....: receivelog.dat 
2016-07-08 15:17:57,706 | DEBUG | [main] | class pro.server.Program:Init(122) ----> Start: LoadMO 
2016-07-08 15:17:57,791 | DEBUG | [main] | class pro.server.Program:Init(137) ----> Start: ExecuteQueue 
2016-07-08 15:17:57,896 | DEBUG | [main] | class pro.server.Program:Init(145) ----> Start: ExecuteInsertReceiveLog 
2016-07-08 15:17:57,962 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(30) ----> ---------------BAT DAU CHECK CHARGING -------------------- 
2016-07-08 15:17:57,964 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(55) ----> CHECK CHARGING SE DELAY 60 PHUT. 
2016-07-08 15:17:57,964 | DEBUG | [Thread-20] | class pro.check.CheckCharge:run(56) ----> ---------------KET THUC CHECK CHARGING -------------------- 
2016-07-08 15:17:57,978 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(22) ----> ---------------BAT DAU CHECK FINISH DAY -------------------- 
2016-07-08 15:17:57,978 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(38) ----> CHECK FINISH DAY SE DELAY 60 PHUT. 
2016-07-08 15:17:57,980 | DEBUG | [Thread-21] | class pro.check.CheckFinishDay:run(39) ----> ---------------KET THUC CHECK FINISH DAY-------------------- 
2016-07-08 15:17:58,013 | DEBUG | [Thread-23] | class pro.check.CheckPushMT:run(27) ----> ---------------BAT DAU CHECK PUSH MT -------------------- 
2016-07-08 15:17:58,016 | DEBUG | [Thread-23] | class pro.check.CheckPushMT:run(90) ----> CHECK PUSHMT SE Delay 10 Phut. 
2016-07-08 15:17:58,016 | DEBUG | [Thread-23] | class pro.check.CheckPushMT:run(91) ----> ---------------KET THUC CHECK PUSH MT-------------------- 
2016-07-08 15:17:58,018 | DEBUG | [Thread-0] | class pro.server.Program:run(366) ----> Listen MO............................................................... 
2016-07-08 15:18:19,566 |  INFO | [Thread-4] | class pro.server.ProcessLoadKeyword:run(115) ----> LoadConfig - Start 
